ENSEMBLID	Gene	ENTREZID
5638	ENSDARG00000031776	fthl27	436651
5639	ENSDARG00000031783	adcy8	100148976
5640	ENSDARG00000031891	tbx1	368206
5641	ENSDARG00000031985	ptpa	445031
5642	ENSDARG00000032005	ccdc65	368824
5644	ENSDARG00000032129	gtf2f1	325832
5645	ENSDARG00000032206	cthl	445818
5646	ENSDARG00000032327	usp36	327239
5647	ENSDARG00000032344	PDE4A	572061
5649	ENSDARG00000032465	slc1a8b	564474
5651	ENSDARG00000032565	cacng2a	393614
5652	ENSDARG00000032584	thnsl2	641568
5653	ENSDARG00000032603	st7l	558013
5654	ENSDARG00000032619	tob1a	386629
5655	ENSDARG00000032725	rps27a	337810
5656	ENSDARG00000032737	gria3a	170452
5657	ENSDARG00000032836	pvalb5	335623
5658	ENSDARG00000032868	PDE4B	565706
5659	ENSDARG00000033009	h3f3c	336231
5660	ENSDARG00000033012	pcnt	325536
5662	ENSDARG00000033126	prkrip1	550595
5663	ENSDARG00000033140	desi1a	393673
5664	ENSDARG00000033160	nr1d1	494487
5665	ENSDARG00000033231	mcm6l	564982
5666	ENSDARG00000033355	zgc:101699	492789
5667	ENSDARG00000033370	ppil3	415236
5668	ENSDARG00000033382	grifin	445036
5670	ENSDARG00000033635	NPFFR2	560955
5671	ENSDARG00000033726	tshba	353223
5673	ENSDARG00000033956	oxtra	100001530
5674	ENSDARG00000033993	SLC19A1	497434
5675	ENSDARG00000034060	elac2	492652
5676	ENSDARG00000034086	zgc:65895	393546
5677	ENSDARG00000034189	oxsr1a	568602
5678	ENSDARG00000034207	gjc4a.1	114404
5679	ENSDARG00000034240	capza1a	327029
5680	ENSDARG00000034396	mars1	338183
5681	ENSDARG00000034409	pik3r3b	100000252
5682	ENSDARG00000034427	jpt2	321880
5683	ENSDARG00000034430	zgc:172121	337599
5684	ENSDARG00000034473	TTYH3	556314
5685	ENSDARG00000034493	GRIN2A	563297
5686	ENSDARG00000034522	rab6ba	558900
5687	ENSDARG00000034534	atp6v1aa	394110
5688	ENSDARG00000034588	scn4ab	564977
5689	ENSDARG00000034685	tmem198b	564608
5690	ENSDARG00000034777	txn2	402938
5691	ENSDARG00000034893	rarab	555364
5692	ENSDARG00000034897	rps10	394121
5693	ENSDARG00000034982	zcchc8	553372
5694	ENSDARG00000035043	pfdn5	568182
5695	ENSDARG00000035066	ubtf	368509
5697	ENSDARG00000035120	gldc	321621
5698	ENSDARG00000035127	rxrab	793011
5699	ENSDARG00000035129	zgc:101858	449555
5700	ENSDARG00000035133	pho	334003
5701	ENSDARG00000035136	selenow1	352915
5702	ENSDARG00000035137	EHD2	567055
5703	ENSDARG00000035150	drll.2	555524
5704	ENSDARG00000035151	drll.1	555453
5705	ENSDARG00000035152	ap2b1	334632
5706	ENSDARG00000035163	tlcd5b	436974
5707	ENSDARG00000035169	LAYN	564995
5708	ENSDARG00000035171	btg4	378946
5709	ENSDARG00000035178	gna14	445297
5710	ENSDARG00000035181	slc25a46	436831
5711	ENSDARG00000035184	tmem150ab	393483
5712	ENSDARG00000035185	FZD9	557447
5713	ENSDARG00000035188	rab14l	393656
5715	ENSDARG00000035198	gcnt4a	324510
5716	ENSDARG00000035221	zgc:110249	553601
5717	ENSDARG00000035253	npr3	569395
5718	ENSDARG00000035256	EEF2	336168
5719	ENSDARG00000035257	akr1a1a	445326
5720	ENSDARG00000035264	riok2	407084
5721	ENSDARG00000035290	dmrt3a	450035
5722	ENSDARG00000035324	hnrnpl	394074
5723	ENSDARG00000035325	srsf7a	402972
5724	ENSDARG00000035326	nccrp1	30078
5725	ENSDARG00000035327	ckma	30095
5726	ENSDARG00000035338	tppp2	559490
5728	ENSDARG00000035352	pafah1b2	567170
5729	ENSDARG00000035357	gnb2	541370
5730	ENSDARG00000035360	mink1	100038799
5731	ENSDARG00000035377	fgf5	494454
5732	ENSDARG00000035388	TMEM174	NA
5733	ENSDARG00000035389	fcho2	553949
5734	ENSDARG00000035390	TNPO1	562607
5735	ENSDARG00000035391	ptcd2	550275
5736	ENSDARG00000035398	ENC1	559101
5737	ENSDARG00000035399	ankra2	406403
5738	ENSDARG00000035400	btf3	556625
5739	ENSDARG00000035406	ttc33	436995
5740	ENSDARG00000035415	ptger4b	100005416
5741	ENSDARG00000035420	ophn1	436982
5742	ENSDARG00000035422	ccn1l1	550346
5743	ENSDARG00000035433	arpc5lb	556104
5744	ENSDARG00000035434	zmat5	445314
5745	ENSDARG00000035435	m17	555717
5746	ENSDARG00000035459	spns3	568387
5747	ENSDARG00000035468	slc25a25b	569227
5748	ENSDARG00000035505	nelfb	393137
5749	ENSDARG00000035506	entpd2a.1	447905
5750	ENSDARG00000035514	adam28	767749
5751	ENSDARG00000035515	tm2d2	436913
5752	ENSDARG00000035519	histh1l1	550353
5753	ENSDARG00000035521	sfrp1a	402843
5754	ENSDARG00000035532	zgc:110329	550500
5755	ENSDARG00000035533	tacr1a	100003539
5756	ENSDARG00000035553	gjb1a	114405
5757	ENSDARG00000035555	gbgt1l3	447881
5758	ENSDARG00000035556	rps6ka3a	338219
5759	ENSDARG00000035562	mpdu1a	447806
5760	ENSDARG00000035563	znf703	114429
5761	ENSDARG00000035564	dgcr8	563963
5762	ENSDARG00000035565	atp6v0a2b	561117
5763	ENSDARG00000035570	C5H9orf85	445497
5764	ENSDARG00000035571	abhd17b	437017
5765	ENSDARG00000035573	AK6	415208
5766	ENSDARG00000035577	cds2	394161
5767	ENSDARG00000035578	hs3st1l2	562344
5768	ENSDARG00000035579	si:dkey-174n20.1	796174
5769	ENSDARG00000035595	ficd	334648
5770	ENSDARG00000035596	ISCU	445238
5771	ENSDARG00000035598	coro1ca	317741
5772	ENSDARG00000035601	dao.3	402994
5773	ENSDARG00000035602	dao.1	619259
5774	ENSDARG00000035603	dao.2	405800
5775	ENSDARG00000035607	ankle2	559297
5776	ENSDARG00000035608	pgam5	492357
5777	ENSDARG00000035609	mtnr1c	30661
5778	ENSDARG00000035610	zgc:113208	550591
5779	ENSDARG00000035625	snrnp27	436976
5780	ENSDARG00000035632	ccl19a.2	100192211
5781	ENSDARG00000035634	rfc5	445385
5783	ENSDARG00000035652	sat1a.1	565700
5785	ENSDARG00000035706	DOCK6	553459
5786	ENSDARG00000035719	arl5c	393819
5787	ENSDARG00000035858	cnn2	406658
5788	ENSDARG00000035859	angptl4	492647
5789	ENSDARG00000035860	rps28	406307
5791	ENSDARG00000035862	insl3	563417
5792	ENSDARG00000035952	CDR2	100148175
5793	ENSDARG00000036106	rgs18	768164
5794	ENSDARG00000036257	RASAL2	793730
5795	ENSDARG00000036279	lamc1	286832
5796	ENSDARG00000036293	gnb1l	541381
5797	ENSDARG00000036541	rhbdf1a	798402
5798	ENSDARG00000036548	s1pr2	170457
5799	ENSDARG00000036567	aanat1	393677
5800	ENSDARG00000036613	TAB1	403084
5801	ENSDARG00000036619	MGAT3	570828
5802	ENSDARG00000036625	polr2f	436817
5803	ENSDARG00000036700	si:ch211-114n24.6	795591
5804	ENSDARG00000036844	tsen54	553550
5805	ENSDARG00000036846	anks4b	431735
5806	ENSDARG00000036852	DXO	NA
5807	ENSDARG00000036966	hsd3b7	327462
5808	ENSDARG00000036994	tbc1d16	450056
5809	ENSDARG00000036998	arf3b	368822
5810	ENSDARG00000037000	fkbp11	368823
5811	ENSDARG00000037056	zte38	556133
5812	ENSDARG00000037057	gcdha	393860
5813	ENSDARG00000037059	SLC44A2	324345
5814	ENSDARG00000037061	aldh9a1b	399481
5815	ENSDARG00000037121	mat2ab	791612
5816	ENSDARG00000037172	ddrgk1	393263
5817	ENSDARG00000037390	gsg1l	664746
5818	ENSDARG00000037782	sox8b	386704
5819	ENSDARG00000037783	proza	768176
5820	ENSDARG00000037789	pvalb1	402805
5821	ENSDARG00000037790	pvalb8	360208
5822	ENSDARG00000037794	nptx2a	553230
5823	ENSDARG00000037805	lgals3bp.3	677742
5824	ENSDARG00000037835	polr3k	436826
5825	ENSDARG00000037836	IGFALS	570758
5826	ENSDARG00000037838	UNKL	565405
5827	ENSDARG00000037865	cln3	492340
5828	ENSDARG00000037867	atp5mf	402883
5829	ENSDARG00000037870	actb2	57935
5830	ENSDARG00000037871	wipi2	437002
5831	ENSDARG00000037872	foxk1	334470
5832	ENSDARG00000037873	cyp3c3	492759
5834	ENSDARG00000037879	lfng	30158
5835	ENSDARG00000037889	wnt9b	565677
5836	ENSDARG00000037891	mlx	554119
5837	ENSDARG00000037892	psmc3ip	415214
5838	ENSDARG00000037894	ezh1	664754
5839	ENSDARG00000037895	ramp2	566313
5840	ENSDARG00000037905	CACNA1A	562059
5841	ENSDARG00000037906	alkbh7	550272
5842	ENSDARG00000037909	timm29	553583
5843	ENSDARG00000037913	nmrk1	541321
5844	ENSDARG00000037914	znfl1	373086
5845	ENSDARG00000037916	cdk5r1a	568402
5847	ENSDARG00000037919	rbbp6	445396
5848	ENSDARG00000037921	gng13b	436673
5849	ENSDARG00000037924	gna13b	336333
5850	ENSDARG00000037925	rgs9a	767636
5851	ENSDARG00000037928	ddx42	503932
5852	ENSDARG00000037929	strada	334550
5853	ENSDARG00000037930	rnf113a	446116
5854	ENSDARG00000037932	lin7b	553768
5855	ENSDARG00000037935	aldh16a1	492710
5856	ENSDARG00000037941	syt5a	436686
5858	ENSDARG00000037946	prl	791526
5859	ENSDARG00000037954	tnnt1	558627
5860	ENSDARG00000037955	pih1d1	553260
5861	ENSDARG00000037958	nosip	492793
5862	ENSDARG00000037961	rcn3	415248
5863	ENSDARG00000037965	srrm2	553531
5864	ENSDARG00000037966	thoc6	100004014
5866	ENSDARG00000037968	fus	394058
5867	ENSDARG00000037980	elob	192341
5868	ENSDARG00000038005	med25	406793
5870	ENSDARG00000038010	rac2	415151
5873	ENSDARG00000038024	flr	797829
5874	ENSDARG00000038025	cbx7a	550551
5875	ENSDARG00000038027	nol12	393260
5876	ENSDARG00000038028	ndufa6	393943
5877	ENSDARG00000038030	rbx1	449846
5878	ENSDARG00000038059	grb2b	406308
5879	ENSDARG00000038066	kpna2	436607
5880	ENSDARG00000038067	smurf2	563633
5881	ENSDARG00000038068	ddx5	322206
5882	ENSDARG00000038069	mgat3a	553676
5884	ENSDARG00000038074	ergic3	393990
5885	ENSDARG00000038075	cyc1	564379
5886	ENSDARG00000038076	romo1	393770
5887	ENSDARG00000038089	TMEM114	100150208
5888	ENSDARG00000038094	CLEC16A	393184
5889	ENSDARG00000038095	socs1a	445073
5890	ENSDARG00000038097	pigq	321218
5891	ENSDARG00000038133	sp100.4	550611
5893	ENSDARG00000038141	atf4b	556410
5894	ENSDARG00000038151	zgc:92360	436988
5895	ENSDARG00000038153	lgals2b	393486
5896	ENSDARG00000038176	cyb561	568765
5897	ENSDARG00000038185	gh1	407639
5898	ENSDARG00000038186	rdm1	492461
5899	ENSDARG00000038213	slc35b1	447844
5900	ENSDARG00000038228	selenow2a	378437
5901	ENSDARG00000038239	tnpo2a	445499
5902	ENSDARG00000038242	zgc:113333	541364
5903	ENSDARG00000038243	e4f1	561158
5904	ENSDARG00000038258	PROC	NA
5905	ENSDARG00000038281	natd1	100002945
5907	ENSDARG00000038293	zgc:103559	494056
5908	ENSDARG00000038296	tmem86b	751651
5909	ENSDARG00000038297	aspdh	447919
5910	ENSDARG00000038312	rcl1	445388
5912	ENSDARG00000038397	rpap2	554138
5913	ENSDARG00000038398	PMM1	100007686
5915	ENSDARG00000038465	STMN3	798970
5916	ENSDARG00000038467	igsf8	404631
5918	ENSDARG00000038537	gga1	798361
5919	ENSDARG00000038541	ccr12a	563803
5920	ENSDARG00000038543	wdr48b	334682
5922	ENSDARG00000038574	scg2b	777641
5923	ENSDARG00000038577	cox6c	494577
5925	ENSDARG00000038593	rspo4	570865
5926	ENSDARG00000038608	sdhc	445129
5927	ENSDARG00000038609	mpz	114417
5928	ENSDARG00000038612	dnaaf6	432386
5929	ENSDARG00000038615	pip4p1a	556136
5931	ENSDARG00000038666	igfbp1b	793907
5932	ENSDARG00000038667	fggy	406567
5933	ENSDARG00000038693	gng7	436670
5934	ENSDARG00000038694	zgc:101744	541409
5935	ENSDARG00000038695	elavl1a	30736
5937	ENSDARG00000038731	slc25a36a	436940
5938	ENSDARG00000038742	rbp1.2	100141334
5939	ENSDARG00000038743	copb2	114454
5940	ENSDARG00000038754	plk3	334202
5941	ENSDARG00000038768	mrpl12	550391
5942	ENSDARG00000038770	zgc:103625	447931
5943	ENSDARG00000038789	tmem53	436910
5944	ENSDARG00000038792	klf17	65238
5945	ENSDARG00000038793	ccdc24	541495
5946	ENSDARG00000038794	zgc:113531	541359
5947	ENSDARG00000038855	CHMP5	558613
5948	ENSDARG00000038859	rgs20	436704
5949	ENSDARG00000038898	zgc:113691	503529
5950	ENSDARG00000038900	acadm	406283
5951	ENSDARG00000038905	hectd3	563189
5953	ENSDARG00000038956	fdx1b	562135
5954	ENSDARG00000038967	cul3a	324655
5955	ENSDARG00000038977	slc25a24l	678557
5956	ENSDARG00000038978	dnajb4	445061
5957	ENSDARG00000038979	vopp1a	100007510
5958	ENSDARG00000038980	txndc12	324900
5959	ENSDARG00000038985	CDY2B	568457
5960	ENSDARG00000039022	stk25b	406600
5961	ENSDARG00000039108	trim35-9	541547
5962	ENSDARG00000039116	nr5a5	407626
5963	ENSDARG00000039142	arpc5a	336504
5964	ENSDARG00000039162	rhebl1	767781
5965	ENSDARG00000039174	OLFM3	561648
5966	ENSDARG00000039181	TRPM3	565807
5967	ENSDARG00000039208	nasp	799570
5968	ENSDARG00000039213	prpf38a	445089
5969	ENSDARG00000039217	orc1	554509
5970	ENSDARG00000039220	ST6GALNAC5	563594
5971	ENSDARG00000039222	mpl	445381
5972	ENSDARG00000039240	CACNG5	100331116
5973	ENSDARG00000039256	spega	570504
5974	ENSDARG00000039264	igfbp5a	795084
5976	ENSDARG00000039319	vps37ba	559483
5977	ENSDARG00000039325	pmepa1	436853
5978	ENSDARG00000039328	ccndbp1	553373
5979	ENSDARG00000039338	GADD45GIP1	402803
5980	ENSDARG00000039374	apool	541537
5981	ENSDARG00000039453	dhrs7ca	558764
5982	ENSDARG00000039512	ap1m3	445244
5983	ENSDARG00000039578	pa2g4a	368737
5984	ENSDARG00000039626	nrgna	567608
5985	ENSDARG00000039752	si:ch73-308m11.1	100149441
5987	ENSDARG00000039828	zp3b	64692
5988	ENSDARG00000039830	gng5	337838
5989	ENSDARG00000039850	dusp22b	100002272
5991	ENSDARG00000039887	c1qbp	334619
5992	ENSDARG00000039929	ckmt2b	799492
5994	ENSDARG00000039979	tecrl2b	450002
5995	ENSDARG00000040031	tardbpb	325052
5996	ENSDARG00000040070	coil	58024
5997	ENSDARG00000040072	scpep1	393161
5998	ENSDARG00000040156	GRM4	567181
5999	ENSDARG00000040177	rgs16	569828
6001	ENSDARG00000040248	crata	449545
6002	ENSDARG00000040321	rx2	30473
6003	ENSDARG00000040387	mmd	641478
6005	ENSDARG00000040433	cyp2k22	393204
6006	ENSDARG00000040455	unc50	393217
6008	ENSDARG00000040526	s1pr5a	492350
6009	ENSDARG00000040528	lgals3bp.1	405809
6011	ENSDARG00000040606	tfap2c	494033
6012	ENSDARG00000040607	rtf2	326100
6013	ENSDARG00000040608	GCNT7	101886707
6014	ENSDARG00000040650	gps1	777711
6015	ENSDARG00000040657	wipi1	393362
6016	ENSDARG00000040683	MEP1B	327586
6018	ENSDARG00000040707	chchd4b	450030
6020	ENSDARG00000040912	kdelr3	393613
6021	ENSDARG00000041072	mier1a	321690
6022	ENSDARG00000041217	xpo6	333980
6023	ENSDARG00000041223	antkmt	100000855
6024	ENSDARG00000041294	noxo1a	572245
6025	ENSDARG00000041299	msi1a	503755
6026	ENSDARG00000041300	drc3	777619
6027	ENSDARG00000041301	crybb3	553184
6028	ENSDARG00000041317	rangap1a	767677
6029	ENSDARG00000041359	zgc:161969	569044
6030	ENSDARG00000041435	uba52	641289
6031	ENSDARG00000041723	zgc:55461	406811
6033	ENSDARG00000041926	DLG4	100000823
6034	ENSDARG00000042069	pebp1	406627
6035	ENSDARG00000042123	nudt3b	450013
6036	ENSDARG00000042128	pacsin1b	619246
6037	ENSDARG00000042215	pias4b	393314
6038	ENSDARG00000042338	lpar2a	445184
6039	ENSDARG00000042357	cldnk	445070
6040	ENSDARG00000042401	derl2	554093
6041	ENSDARG00000042521	si:dkey-251i10.1	100038774
6042	ENSDARG00000042525	ebf2	30692
6043	ENSDARG00000042526	sebox	282666
6044	ENSDARG00000042527	unga	393949
6045	ENSDARG00000042534	rsrc2	406566
6046	ENSDARG00000042590	rbm19	387255
6047	ENSDARG00000042652	RREB1	555701
6048	ENSDARG00000042656	nrn1b	449839
6049	ENSDARG00000042671	odr4	393588
6050	ENSDARG00000042845	oxt	352920
6051	ENSDARG00000042892	paip1	445110
6052	ENSDARG00000043002	vmo1a	793369
6053	ENSDARG00000043081	ctsz	450022
6054	ENSDARG00000043094	GNAS	557353
6055	ENSDARG00000043105	qtrt1	393985
6056	ENSDARG00000043360	dph3	553692
6057	ENSDARG00000043361	nck2b	445098
6058	ENSDARG00000043581	gadd45aa	393548
6059	ENSDARG00000043589	ca4a	555196
6060	ENSDARG00000043685	nabp1b	570609
6061	ENSDARG00000043795	arhgdia	406770
6062	ENSDARG00000043923	sox9b	60642
6064	ENSDARG00000044074	loxl2b	791144
6065	ENSDARG00000044155	mafaa	100000492
6066	ENSDARG00000044167	padi2	386792
6067	ENSDARG00000044175	oxtrb	796298
6068	ENSDARG00000044182	stau1	334440
6069	ENSDARG00000044191	gxylt2	567541
6070	ENSDARG00000044194	tcta	436858
6071	ENSDARG00000044199	gnat1	140428
6072	ENSDARG00000044203	sumf1	553423
6073	ENSDARG00000044204	endou	791216
6076	ENSDARG00000044267	sumo1	406438
6077	ENSDARG00000044278	synprb	368919
6078	ENSDARG00000044279	opn1mw3	360152
6079	ENSDARG00000044280	opn1mw2	360151
6080	ENSDARG00000044301	atf1	325609
6083	ENSDARG00000044332	zranb2	406716
6084	ENSDARG00000044339	rp2	406755
6085	ENSDARG00000044341	CHST7	563748
6086	ENSDARG00000044345	cyfip1	336613
6087	ENSDARG00000044356	tp63	260407
6088	ENSDARG00000044357	tbc1d23	798995
6089	ENSDARG00000044365	angptl3	114421
6090	ENSDARG00000044373	atg4c	415193
6091	ENSDARG00000044400	dnai4	553797
6092	ENSDARG00000044404	pars2	325494
6093	ENSDARG00000044405	ttc4	393981
6094	ENSDARG00000044431	ppig	406773
6096	ENSDARG00000044436	rps6ka4	561959
6097	ENSDARG00000044437	cdca5	559398
6098	ENSDARG00000044441	MYO7B	108190403
6099	ENSDARG00000044457	gfi1ab	798697
6100	ENSDARG00000044511	etv5b	30452
6101	ENSDARG00000044521	eef1b2	563160
6103	ENSDARG00000044528	slc15a1b	793301
6104	ENSDARG00000044532	nr4a2b	436679
6105	ENSDARG00000044549	zgc:112416	550509
6106	ENSDARG00000044551	atg9a	100009663
6107	ENSDARG00000044561	ccr7	565958
6108	ENSDARG00000044562	cycsb	415158
6109	ENSDARG00000044565	ola1	326864
6110	ENSDARG00000044588	emp2	445506
6111	ENSDARG00000044600	PLPPR2	571463
6112	ENSDARG00000044601	rtn4a	447816
6113	ENSDARG00000044615	map3k20a	405768
6114	ENSDARG00000044628	dtd1	445046
6115	ENSDARG00000044704	or90b1	100148884
6116	ENSDARG00000044767	TSPAN10	799194
6117	ENSDARG00000044769	kctd13	100000647
6118	ENSDARG00000044852	wbp2nl	325287
6119	ENSDARG00000044938	cbx2	327291
6120	ENSDARG00000045019	aamp	405874
6121	ENSDARG00000045262	gsnb	336623
6123	ENSDARG00000045420	epdr1	436689
6124	ENSDARG00000045421	stard3nl	436592
6125	ENSDARG00000045951	kat5b	503731
6126	ENSDARG00000045978	chchd6b	492522
6127	ENSDARG00000045979	zgc:153704	767759
6129	ENSDARG00000046090	dhrs11a	791578
6132	ENSDARG00000046107	CASKIN1	563678
6133	ENSDARG00000046140	zgc:112038	553673
6134	ENSDARG00000051956	isca1	573999
6135	ENSDARG00000051957	selenom	352913
6136	ENSDARG00000052025	pomgnt1	571876
6137	ENSDARG00000052027	TSPAN1	101883387
6138	ENSDARG00000052030	akr1a1b	799805
6139	ENSDARG00000052073	blcap	57918
6140	ENSDARG00000052097	trim35-31	560122
6141	ENSDARG00000052099	agxta	436603
6142	ENSDARG00000052103	dtymk	567734
6143	ENSDARG00000052104	atg4b	448859
6144	ENSDARG00000052109	zgc:114041	574425
6145	ENSDARG00000052110	mboat4	795709
6146	ENSDARG00000052129	boka	445218
6147	ENSDARG00000052139	notch3	58066
6148	ENSDARG00000052142	ACVR1B	559222
6149	ENSDARG00000052148	ptgs1	246226
6150	ENSDARG00000052150	pbx4	30728
6151	ENSDARG00000052154	lix1	558010
6152	ENSDARG00000052155	LRRC8A	557928
6153	ENSDARG00000052157	il12rb2	100134971
6154	ENSDARG00000052158	il23r	100134972
6155	ENSDARG00000052165	LHX6	557579
6156	ENSDARG00000052170	uap1	322513
6157	ENSDARG00000052176	shfl	797287
6158	ENSDARG00000052182	rbfox2	406569
6160	ENSDARG00000052190	fdx2	767726
6161	ENSDARG00000052192	s1pr5b	780835
6162	ENSDARG00000052215	btr02	562439
6163	ENSDARG00000052222	rasd2a	565976
6164	ENSDARG00000052223	rcvrna	570333
6166	ENSDARG00000052279	osgn1	393155
6169	ENSDARG00000052300	mfsd13al	100142644
6170	ENSDARG00000052304	uqcrc1	393793
6172	ENSDARG00000052344	tbl3	492761
6174	ENSDARG00000052360	CACNG1	571193
6175	ENSDARG00000052377	psmd12	321898
6176	ENSDARG00000052387	pou2f3	553427
6177	ENSDARG00000052413	crfb12	678605
6178	ENSDARG00000052423	ppp1r12c	570218
6180	ENSDARG00000052427	bicdl2	777640
6181	ENSDARG00000052428	si:dkey-43k4.3	795882
6182	ENSDARG00000052429	syngr2a	563028
6183	ENSDARG00000052433	inha	570520
6184	ENSDARG00000052437	mia	569807
6185	ENSDARG00000052470	igfbp2a	794176
6186	ENSDARG00000052536	tia1	793165
6187	ENSDARG00000052553	lig3	563276
6188	ENSDARG00000052594	nkiras2	445039
6189	ENSDARG00000052617	raver1	553693
6190	ENSDARG00000052618	ahrrb	565319
6191	ENSDARG00000052633	si:ch211-106n13.3	563353
6192	ENSDARG00000052638	fam210b	619270
6193	ENSDARG00000052642	shisa9b	566015
6194	ENSDARG00000052648	hs3st4	563570
6195	ENSDARG00000052649	ube2ia	114445
6196	ENSDARG00000052690	arrdc3a	566685
6197	ENSDARG00000052693	si:dkey-172m14.1	567451
6198	ENSDARG00000052695	nr2f1a	30418
6199	ENSDARG00000052697	fam172a	393390
6202	ENSDARG00000052708	tnni1b	494070
6203	ENSDARG00000052731	ankrd31	550610
6204	ENSDARG00000052734	hmgcra	559054
6205	ENSDARG00000052741	CARD11	557072
6206	ENSDARG00000052787	zdhhc12b	569129
6207	ENSDARG00000052816	shmt1	394021
6208	ENSDARG00000052818	smcr8a	558696
6209	ENSDARG00000052827	TOP3A	560212
6212	ENSDARG00000052881	dnajb5	569466
6213	ENSDARG00000052897	atxn2	569210
6214	ENSDARG00000052905	zgc:165423	100101646
6216	ENSDARG00000052957	plcd3a	569040
6217	ENSDARG00000052966	nmt1a	323956
6218	ENSDARG00000053021	grsf1	563249
6219	ENSDARG00000053047	eif2s2	324365
6220	ENSDARG00000053058	rps11	406686
6221	ENSDARG00000053066	tubb1	558552
6222	ENSDARG00000053070	gosr2	324569
6223	ENSDARG00000053101	prpf38b	406810
6224	ENSDARG00000053104	eeig2a	724011
6225	ENSDARG00000053129	carhsp1	393534
6226	ENSDARG00000053179	CTTNBP2NL	100534706
6227	ENSDARG00000053254	mylpfa	30429
6228	ENSDARG00000053260	zgc:113090	553741
6229	ENSDARG00000053272	RAP1GAP	100538309
6231	ENSDARG00000053358	basp1	569631
6232	ENSDARG00000053364	pax10	100192208
6234	ENSDARG00000053447	ppp4r2b	100005419
6235	ENSDARG00000053449	pyya	30211
6236	ENSDARG00000053453	mpp2a	562207
6238	ENSDARG00000053455	ccdc103	437026
6239	ENSDARG00000053457	rpl23	336812
6240	ENSDARG00000053459	rybpb	497613
6242	ENSDARG00000053467	gtpbp1	378721
6243	ENSDARG00000053483	zgc:113054	541322
6244	ENSDARG00000053574	fancd2	394241
6246	ENSDARG00000053724	ADCYAP1R1	555473
6247	ENSDARG00000053728	ttll3	724000
6249	ENSDARG00000053934	hdhd3	553464
6250	ENSDARG00000053939	tgfa	100034402
6251	ENSDARG00000053953	MYADML2	570494
6255	ENSDARG00000054026	mustn1a	559807
6256	ENSDARG00000054058	h1-10	322508
6257	ENSDARG00000054063	arpc4	114456
6258	ENSDARG00000054127	slc26a6l	559448
6260	ENSDARG00000054162	NFATC4	561682
6261	ENSDARG00000054170	ltb4r2b	100537296
6262	ENSDARG00000054202	hbl4	100137128
6263	ENSDARG00000054239	ghrl	798613
6264	ENSDARG00000054250	crbn	445491
6265	ENSDARG00000054320	AP2A1	558153
6266	ENSDARG00000054355	dcaf7	337565
6267	ENSDARG00000054362	ccdc47	447812
6268	ENSDARG00000054433	yipf6	415186
6269	ENSDARG00000054438	fzd2	30370
6270	ENSDARG00000054446	ccdc43	393631
6271	ENSDARG00000054454	epha4a	64271
6272	ENSDARG00000054533	araf	403063
6273	ENSDARG00000054570	smg1	569810
6274	ENSDARG00000054578	arl6ip1	394087
6275	ENSDARG00000054588	cox6a2	447942
6276	ENSDARG00000054606	mrpl1	553284
6277	ENSDARG00000054610	coro1a	100002113
6278	ENSDARG00000054616	cldni	569084
6279	ENSDARG00000054619	fras1	563428
6281	ENSDARG00000054666	pgpep1	553547
6282	ENSDARG00000054683	prdm8b	557162
6283	ENSDARG00000054741	prkg2	100125912
6284	ENSDARG00000054749	lmo4b	324849
6285	ENSDARG00000054754	hs6st1a	553162
6286	ENSDARG00000054793	emc10	565829
6287	ENSDARG00000054833	nucb1	751753
6288	ENSDARG00000054837	zgc:136870	664693
6289	ENSDARG00000054842	hsd17b14	445127
6290	ENSDARG00000054849	bcat2	436949
6291	ENSDARG00000054874	gpsm1b	493623
6293	ENSDARG00000054906	ier5l	326935
6294	ENSDARG00000054930	tpra1	570573
6295	ENSDARG00000054942	lgals2a	405830
6296	ENSDARG00000054950	eef2kmt	450038
6297	ENSDARG00000054963	alg1	334161
6298	ENSDARG00000055086	ggnbp2	552967
6301	ENSDARG00000055175	C1QTNF6	565113
6303	ENSDARG00000055186	ccr9a	553366
6304	ENSDARG00000055192	zgc:136930	563946
6305	ENSDARG00000055229	ncs1a	393437
6306	ENSDARG00000055317	C1QL4	567540
6307	ENSDARG00000055350	sun1b	553188
6309	ENSDARG00000055370	gad3	100038790
6310	ENSDARG00000055383	hapstr1a	327299
6312	ENSDARG00000055472	nubp1	503919
6313	ENSDARG00000055474	dexi	445307
6314	ENSDARG00000055481	atf7b	567018
6316	ENSDARG00000055510	ypel3	368214
6317	ENSDARG00000055561	c1galt1lb	337131
6318	ENSDARG00000055639	ruvbl2	317678
6319	ENSDARG00000055644	prss60.2	541408
6320	ENSDARG00000055647	ftr82	338307
6321	ENSDARG00000055656	nherf4b	566852
6322	ENSDARG00000055713	FMNL1	557062
6323	ENSDARG00000055731	si:dkeyp-69e1.8	100001340
6324	ENSDARG00000055737	ube3a	792398
6325	ENSDARG00000055743	ankrd54	436851
6326	ENSDARG00000055781	PTGER3	100000544
6328	ENSDARG00000055843	cdh10a	568370
6329	ENSDARG00000055855	kcnc3a	559096
6330	ENSDARG00000055900	zswim5	100149522
6331	ENSDARG00000055912	nipa2	406399
6332	ENSDARG00000055917	nipa1	450042
6333	ENSDARG00000055996	rps8a	407690
6334	ENSDARG00000056008	atp5mc1	406301
6335	ENSDARG00000056012	eve1	30335
6336	ENSDARG00000056015	hoxb13a	559921
